('TIME-OF1', ',', '0.852941176471')
('TOPIC_OF_COGNITION&EMOTION', ',', '0.8')
('TIME-OF2', ',', '0.944444444444')
('PART&MEMBER_OF_COLLECTION&CONFIG&SERIES', ',', '0.586206896552')
('OWNER-USER', ',', '0.652173913043')
('OBTAIN&ACCESS&SEEK', ',', '0.269230769231')
('TOPIC_OF_EXPERT', ',', '0.833333333333')
('CONTAIN', ',', '0.441860465116')
('AMOUNT-OF', ',', '0.928571428571')
('JUSTIFICATION', ',', '0.555555555556')
('CREATOR-PROVIDER-CAUSE_OF', ',', '0.439024390244')
('MEANS', ',', '0.392156862745')
('SUBSTANCE-MATERIAL-INGREDIENT', ',', '0.697368421053')
('EMPLOYER', ',', '0.876712328767')
('PERFORM&ENGAGE_IN', ',', '0.851941747573')
('MEASURE', ',', '0.948529411765')
('LEXICALIZED', ',', '0.037037037037')
('LOCATION', ',', '0.658682634731')
('VARIETY&GENUS_OF', ',', '0.75')
('PARTIAL_ATTRIBUTE_TRANSFER', ',', '0.2')
('OTHER', ',', '0.472392638037')
('EXPERIENCER-OF-EXPERIENCE', ',', '0.8')
('USER_RECIPIENT', ',', '0.290322580645')
('OBJECTIVE', ',', '0.839679358717')
('WHOLE+PART_OR_MEMBER_OF', ',', '0.396226415094')
('MITIGATE&OPPOSE', ',', '0.5')
('RELATIONAL-NOUN-COMPLEMENT', ',', '0.832298136646')
('ORGANIZE&SUPERVISE&AUTHORITY', ',', '0.647058823529')
('TOPIC', ',', '0.782383419689')
('ADJ-LIKE_NOUN', ',', '1.0')
('PURPOSE', ',', '0.742424242424')
('WHOLE+ATTRIBUTE&FEATURE&QUALITY_VALUE_IS_CHARACTERISTIC_OF', ',', '0.454545454545')
('CREATE-PROVIDE-GENERATE-SELL', ',', '0.654970760234')
('EQUATIVE', ',', '0.550561797753')
('SUBJECT', ',', '0.613861386139')
